id;transaction_id;amount;transaction_type;balance;principal_amount;transaction_date
1;payment Fantastic yellow;36697;Industrial Krona;22152;13321;2022-05-15T21:58:31
2;neural;29487;Executive 1080p;26851;96494;2022-05-16T11:52:20
3;neural Toys;44172;embrace;92561;48009;2022-05-16T04:34:31
4;Open-source Forward knowledge;42423;interface;74144;11047;2022-05-15T23:30:46
5;Shilling Unbranded;27959;Mountains Islands;86913;33771;2022-05-16T12:38:33
6;copying Borders proactive;42910;Garden Rial;25052;74084;2022-05-16T05:47:44
7;supply-chains Manager;42691;Slovenia;15403;45339;2022-05-16T14:32:37
8;multi-state enhance;74655;Roads;41407;66186;2022-05-16T14:39:53
9;grid-enabled;43774;Pennsylvania Incredible platforms;86862;83617;2022-05-16T14:15:22
10;Investment Books withdrawal;36417;salmon;32591;21349;2022-05-16T06:49:52
